"Symbol","Name","Entrez.ID","Ensembl.ID"
"CALCR","calcitonin receptor","799","ENSG00000004948.13"
"HCCS","holocytochrome c synthase","3052","ENSG00000004961.14"
"DVL2","dishevelled segment polarity protein 2","1856","ENSG00000004975.11"
"PRSS22","serine protease 22","64063","ENSG00000005001.9"
"UPF1","UPF1, RNA helicase and ATPase","5976","ENSG00000005007.12"
"SKAP2","src kinase associated phosphoprotein 2","8935","ENSG00000005020.12"
"SLC25A5","solute carrier family 25 member 5","292","ENSG00000005022.5"
"MCUB","mitochondrial calcium uniporter dominant negative beta subunit","55013","ENSG00000005059.15"
"HOXA11","homeobox A11","3207","ENSG00000005073.5"
"POLR2J","RNA polymerase II subunit J","5439","ENSG00000005075.15"
"DHX33","DEAH-box helicase 33","56919","ENSG00000005100.12"
"MEOX1","mesenchyme homeobox 1","4222","ENSG00000005102.12"
"THSD7A","thrombospondin type 1 domain containing 7A","221981","ENSG00000005108.15"
"LIG3","DNA ligase 3","3980","ENSG00000005156.11"
"RPAP3","RNA polymerase II associated protein 3","79657","ENSG00000005175.9"
"ACSM3","acyl-CoA synthetase medium chain family member 3","6296","ENSG00000005187.11"
"REXO5","RNA exonuclease 5","81691","ENSG00000005189.19"
"CIAPIN1","cytokine induced apoptosis inhibitor 1","57019","ENSG00000005194.14"
"SPPL2B","signal peptide peptidase like 2B","56928","ENSG00000005206.16"
"FAM214B","family with sequence similarity 214 member B","80256","ENSG00000005238.19"
"COPZ2","coatomer protein complex subunit zeta 2","51226","ENSG00000005243.9"
"PRKAR2B","protein kinase cAMP-dependent type II regulatory subunit beta","5577","ENSG00000005249.12"
"MSL3","MSL complex subunit 3","10943","ENSG00000005302.17"
"CREBBP","CREB binding protein","1387","ENSG00000005339.14"
"TSPOAP1","TSPO associated protein 1","9256","ENSG00000005379.15"
"MPO","myeloperoxidase","4353","ENSG00000005381.7"
"PON1","paraoxonase 1","5444","ENSG00000005421.8"
"GCFC2","GC-rich sequence DNA-binding factor 2","6936","ENSG00000005436.13"
"WDR54","WD repeat domain 54","84058","ENSG00000005448.16"
"CROT","carnitine O-octanoyltransferase","54677","ENSG00000005469.11"
"ABCB4","ATP binding cassette subfamily B member 4","5244","ENSG00000005471.15"
"KMT2E","lysine methyltransferase 2E","55904","ENSG00000005483.20"
"RHBDD2","rhomboid domain containing 2","57414","ENSG00000005486.16"
"SOX8","SRY-box 8","30812","ENSG00000005513.9"
"IBTK","inhibitor of Bruton tyrosine kinase","25998","ENSG00000005700.14"
"ZNF195","zinc finger protein 195",NA,"ENSG00000005801.16"
"MYCBP2","MYC binding protein 2, E3 ubiquitin protein ligase","23077","ENSG00000005810.17"
"FBXL3","F-box and leucine rich repeat protein 3","26224","ENSG00000005812.10"
"ITGAL","integrin subunit alpha L","3683","ENSG00000005844.17"
"PDK2","pyruvate dehydrogenase kinase 2","5164","ENSG00000005882.11"
"ITGA3","integrin subunit alpha 3","3675","ENSG00000005884.17"
"ZFX","zinc finger protein X-linked","7543","ENSG00000005889.15"
"LAMP2","lysosomal associated membrane protein 2","3920","ENSG00000005893.15"
"ITGA2B","integrin subunit alpha 2b","3674","ENSG00000005961.17"
"ASB4","ankyrin repeat and SOCS box containing 4","51666","ENSG00000005981.12"
"GDE1","glycerophosphodiester phosphodiesterase 1","51573","ENSG00000006007.11"
"REX1BD","required for excision 1-B domain containing","55049","ENSG00000006015.17"
"CRLF1","cytokine receptor like factor 1","9244","ENSG00000006016.10"
"","","0","ENSG00000006025.11"
"TMEM98","transmembrane protein 98","26022","ENSG00000006042.11"
"YBX2","Y-box binding protein 2","51087","ENSG00000006047.12"
"KRT33A","keratin 33A","3883","ENSG00000006059.3"
"MAP3K14","mitogen-activated protein kinase kinase kinase 14","9020","ENSG00000006062.13"
"ABCC8","ATP binding cassette subfamily C member 8","6833","ENSG00000006071.12"
"CACNG3","calcium voltage-gated channel auxiliary subunit gamma 3","10368","ENSG00000006116.3"
"TMEM132A","transmembrane protein 132A","54972","ENSG00000006118.14"
"AP2B1","adaptor related protein complex 2 subunit beta 1","163","ENSG00000006125.16"
"TAC1","tachykinin precursor 1","6863","ENSG00000006128.11"
"ZNF263","zinc finger protein 263","10127","ENSG00000006194.9"
"CX3CL1","C-X3-C motif chemokine ligand 1","6376","ENSG00000006210.6"
"SPATA20","spermatogenesis associated 20","64847","ENSG00000006282.20"
"CACNA1G","calcium voltage-gated channel subunit alpha1 G","8913","ENSG00000006283.17"
"TNFRSF12A","TNF receptor superfamily member 12A",NA,"ENSG00000006327.13"
"DLX6","distal-less homeobox 6","1750","ENSG00000006377.10"
"MAP3K9","mitogen-activated protein kinase kinase kinase 9","4293","ENSG00000006432.15"
"RALA","RAS like proto-oncogene A","5898","ENSG00000006451.7"
"BAIAP2L1","BAI1 associated protein 2 like 1","55971","ENSG00000006453.13"
"KDM7A","lysine demethylase 7A","80853","ENSG00000006459.10"
"ETV1","ETS variant 1","2115","ENSG00000006468.13"
"AGK","acylglycerol kinase","55750","ENSG00000006530.15"
"ALDH3B1","aldehyde dehydrogenase 3 family member B1","221","ENSG00000006534.15"
"TTC22","tetratricopeptide repeat domain 22","55001","ENSG00000006555.10"
"PHTF2","putative homeodomain transcription factor 2","57157","ENSG00000006576.16"
"CCL26","C-C motif chemokine ligand 26","10344","ENSG00000006606.8"
"FARP2","FERM, ARH/RhoGEF and pleckstrin domain protein 2","9855","ENSG00000006607.13"
"USH1C","USH1 protein network component harmonin","10083","ENSG00000006611.15"
"GGCT","gamma-glutamylcyclotransferase","79017","ENSG00000006625.17"
"DBF4","DBF4 zinc finger","10926","ENSG00000006634.7"
"TBXA2R","thromboxane A2 receptor","6915","ENSG00000006638.11"
"IFRD1","interferon related developmental regulator 1","3475","ENSG00000006652.13"
"LGALS14","galectin 14","56891","ENSG00000006659.12"
"COX10","cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10","1352","ENSG00000006695.10"
"GTF2IRD1","GTF2I repeat domain containing 1","9569","ENSG00000006704.10"
"","","0","ENSG00000006712.14"
"VPS41","VPS41, HOPS complex subunit","27072","ENSG00000006715.15"
"ARHGAP44","Rho GTPase activating protein 44","9912","ENSG00000006740.16"
"ELAC2","elaC ribonuclease Z 2","60528","ENSG00000006744.18"
"SCIN","scinderin","85477","ENSG00000006747.14"
"ARSD","arylsulfatase D","414","ENSG00000006756.15"
"PNPLA4","patatin like phospholipase domain containing 4","8228","ENSG00000006757.11"
"MYH13","myosin heavy chain 13","8735","ENSG00000006788.12"
"ADIPOR2","adiponectin receptor 2","79602","ENSG00000006831.9"
"CDKL3","cyclin dependent kinase like 3","51265","ENSG00000006837.11"
"UPP2","uridine phosphorylase 2","151531","ENSG00000007001.12"
"PRSS21","serine protease 21","10942","ENSG00000007038.10"
"MARK4","microtubule affinity regulating kinase 4","57787","ENSG00000007047.14"
"PROM1","prominin 1","8842","ENSG00000007062.11"
"CCDC124","coiled-coil domain containing 124","115098","ENSG00000007080.10"
"CEACAM21","carcinoembryonic antigen related cell adhesion molecule 21","90273","ENSG00000007129.17"
"PAFAH1B1","platelet activating factor acetylhydrolase 1b regulatory subunit 1","5048","ENSG00000007168.12"
"NOS2","nitric oxide synthase 2","4843","ENSG00000007171.16"
"DNAH9","dynein axonemal heavy chain 9","1770","ENSG00000007174.17"
"KIAA0100","KIAA0100","9703","ENSG00000007202.14"
"SLC13A2","solute carrier family 13 member 2","9058","ENSG00000007216.14"
"","","0","ENSG00000007237.18"
"","","0","ENSG00000007255.10"
"MATK","megakaryocyte-associated tyrosine kinase","4145","ENSG00000007264.14"
"CEACAM7","carcinoembryonic antigen related cell adhesion molecule 7","1087","ENSG00000007306.14"
"CD79B","CD79b molecule","974","ENSG00000007312.12"
"","","0","ENSG00000007314.11"
"ST7L","suppression of tumorigenicity 7 like","54879","ENSG00000007341.18"
"TKTL1","transketolase like 1","8277","ENSG00000007350.16"
"PAX6","paired box 6","5080","ENSG00000007372.20"
"RPUSD1","RNA pseudouridine synthase domain containing 1","113000","ENSG00000007376.7"
"RHBDF1","rhomboid 5 homolog 1","64285","ENSG00000007384.15"
"LUC7L","LUC7 like","55692","ENSG00000007392.16"
"CACNA2D2","calcium voltage-gated channel auxiliary subunit alpha2delta 2","9254","ENSG00000007402.11"
"BAIAP3","BAI1 associated protein 3","8938","ENSG00000007516.13"
"TSR3","TSR3, acp transferase ribosome maturation factor","115939","ENSG00000007520.3"
"PIGQ","phosphatidylinositol glycan anchor biosynthesis class Q","9091","ENSG00000007541.16"
"CRAMP1","cramped chromatin regulator homolog 1","57585","ENSG00000007545.15"
"TEAD3","TEA domain transcription factor 3","7005","ENSG00000007866.18"
"SELE","selectin E","6401","ENSG00000007908.15"
"DNAJC11","DnaJ heat shock protein family (Hsp40) member C11","55735","ENSG00000007923.15"
"FMO3","flavin containing monooxygenase 3","2328","ENSG00000007933.12"
"MYLIP","myosin regulatory light chain interacting protein","29116","ENSG00000007944.14"
"NOX1","NADPH oxidase 1","27035","ENSG00000007952.17"
"E2F2","E2F transcription factor 2","1870","ENSG00000007968.6"
"PSMB1","proteasome subunit beta 1","5689","ENSG00000008018.8"
"SYN1","synapsin I","6853","ENSG00000008056.12"
"JARID2","jumonji and AT-rich interaction domain containing 2","3720","ENSG00000008083.13"
"CDKL5","cyclin dependent kinase like 5","6792","ENSG00000008086.11"
"CAMK1G","calcium/calmodulin dependent protein kinase IG","57172","ENSG00000008118.9"
"CDK11A","cyclin dependent kinase 11A","728642","ENSG00000008128.22"
"NADK","NAD kinase","65220","ENSG00000008130.15"
"TFAP2B","transcription factor AP-2 beta","7021","ENSG00000008196.12"
"","","0","ENSG00000008197.4"
"DLEC1","DLEC1, cilia and flagella associated protein","9940","ENSG00000008226.19"
"CYTH3","cytohesin 3","9265","ENSG00000008256.15"
"ADAM22","ADAM metallopeptidase domain 22","53616","ENSG00000008277.14"
"SYPL1","synaptophysin like 1",NA,"ENSG00000008282.8"
"CYB561","cytochrome b561","1534","ENSG00000008283.15"
"SPAG9","sperm associated antigen 9","9043","ENSG00000008294.20"
"CELSR3","cadherin EGF LAG seven-pass G-type receptor 3","1951","ENSG00000008300.15"
"AASS","aminoadipate-semialdehyde synthase","10157","ENSG00000008311.14"
"PLEKHG6","pleckstrin homology and RhoGEF domain containing G6","55200","ENSG00000008323.15"
"SS18L2","SS18 like 2","51188","ENSG00000008324.10"
"MPND","MPN domain containing","84954","ENSG00000008382.15"
"MGST1","microsomal glutathione S-transferase 1","4257","ENSG00000008394.12"
"CRY1","cryptochrome circadian regulator 1","1407","ENSG00000008405.11"
"PGLYRP1","peptidoglycan recognition protein 1","8993","ENSG00000008438.4"
"NFIX","nuclear factor I X","4784","ENSG00000008441.16"
"ST3GAL1","ST3 beta-galactoside alpha-2,3-sialyltransferase 1","6482","ENSG00000008513.14"
"","","0","ENSG00000008516.16"
"IL32","interleukin 32","9235","ENSG00000008517.16"
"PKD1","polycystin 1, transient receptor potential channel interacting","5310","ENSG00000008710.18"
"MAPK8IP2","mitogen-activated protein kinase 8 interacting protein 2","23542","ENSG00000008735.13"
"MED24","mediator complex subunit 24","9862","ENSG00000008838.18"
"RHOBTB2","Rho related BTB domain containing 2","23221","ENSG00000008853.16"
"HEATR5B","HEAT repeat containing 5B","54497","ENSG00000008869.11"
"SEC62","SEC62 homolog, preprotein translocation factor","7095","ENSG00000008952.16"
"RPS20","ribosomal protein S20","6224","ENSG00000008988.9"
"CSDE1","cold shock domain containing E1","7812","ENSG00000009307.15"
"UBE3C","ubiquitin protein ligase E3C","9690","ENSG00000009335.17"
"REV3L","REV3 like, DNA directed polymerase zeta catalytic subunit","5980","ENSG00000009413.15"
"TENM1","teneurin transmembrane protein 1","10178","ENSG00000009694.13"
"PAX7","paired box 7","5081","ENSG00000009709.11"
"MASP2","mannan binding lectin serine peptidase 2","10747","ENSG00000009724.16"
"IYD","iodotyrosine deiodinase","389434","ENSG00000009765.14"
"FAM76A","family with sequence similarity 76 member A","199870","ENSG00000009780.15"
"TRAF3IP3","TRAF3 interacting protein 3","80342","ENSG00000009790.14"
"POMT2","protein O-mannosyltransferase 2","29954","ENSG00000009830.11"
"VTA1","vesicle trafficking 1","51534","ENSG00000009844.15"
"MLXIPL","MLX interacting protein like","51085","ENSG00000009950.15"
"BAZ1B","bromodomain adjacent to zinc finger domain 1B","9031","ENSG00000009954.10"
"RANBP9","RAN binding protein 9","10048","ENSG00000010017.12"
"ETV7","ETS variant 7","51513","ENSG00000010030.13"
"SPRTN","SprT-like N-terminal domain","83932","ENSG00000010072.15"
"EEF1AKNMT","eEF1A lysine and N-terminal methyltransferase","51603","ENSG00000010165.19"
"DYRK4","dual specificity tyrosine phosphorylation regulated kinase 4","8798","ENSG00000010219.13"
"ZNF207","zinc finger protein 207","7756","ENSG00000010244.17"
"UQCRC1","ubiquinol-cytochrome c reductase core protein 1","7384","ENSG00000010256.10"
"STARD3NL","STARD3 N-terminal like",NA,"ENSG00000010270.13"
"CD9","CD9 molecule","928","ENSG00000010278.12"
"HHATL","hedgehog acyltransferase like","57467","ENSG00000010282.14"
"NCAPD2","non-SMC condensin I complex subunit D2","9918","ENSG00000010292.12"
"IFFO1","intermediate filament family orphan 1","25900","ENSG00000010295.19"
"GIPR","gastric inhibitory polypeptide receptor","2696","ENSG00000010310.8"
"PHF7","PHD finger protein 7","51533","ENSG00000010318.20"
"SEMA3G","semaphorin 3G","56920","ENSG00000010319.6"
"NISCH","nischarin","11188","ENSG00000010322.15"
"STAB1","stabilin 1","23166","ENSG00000010327.10"
"FUZ","fuzzy planar cell polarity protein","80199","ENSG00000010361.13"
"SLC6A13","solute carrier family 6 member 13","6540","ENSG00000010379.15"
"IDS","iduronate 2-sulfatase","3423","ENSG00000010404.17"
"PRSS3","serine protease 3","5646","ENSG00000010438.16"
"ZNF200","zinc finger protein 200",NA,"ENSG00000010539.11"
"CD4","CD4 molecule","920","ENSG00000010610.9"
"LRRC23","leucine rich repeat containing 23","10233","ENSG00000010626.14"
"BTK","Bruton tyrosine kinase","695","ENSG00000010671.15"
"HFE","homeostatic iron regulator","3077","ENSG00000010704.18"
"SCMH1","Scm polycomb group protein homolog 1","22955","ENSG00000010803.16"
"FYN","FYN proto-oncogene, Src family tyrosine kinase","2534","ENSG00000010810.17"
"HIVEP2","human immunodeficiency virus type I enhancer binding protein 2","3097","ENSG00000010818.8"
"FMO1","flavin containing monooxygenase 1","2326","ENSG00000010932.15"
"ELOA","elongin A","6924","ENSG00000011007.12"
"LYPLA2","lysophospholipase 2","11313","ENSG00000011009.10"
"CLCN6","chloride voltage-gated channel 6","1185","ENSG00000011021.21"
"","","0","ENSG00000011028.13"
"NME1-NME2","NME1-NME2 readthrough","654364","ENSG00000011052.21"
"SLC6A7","solute carrier family 6 member 7","6534","ENSG00000011083.8"
"TSPAN9","tetraspanin 9","10867","ENSG00000011105.11"
"BTBD7","BTB domain containing 7","55727","ENSG00000011114.14"
"","","0","ENSG00000011132.11"
"MKS1","Meckel syndrome, type 1","54903","ENSG00000011143.16"
"ABHD5","abhydrolase domain containing 5","51099","ENSG00000011198.7"
"ANOS1","anosmin 1","3730","ENSG00000011201.11"
"AKAP8L","A-kinase anchoring protein 8 like","26993","ENSG00000011243.17"
"MBTD1","mbt domain containing 1","54799","ENSG00000011258.15"
"UTP18","UTP18, small subunit processome component","51096","ENSG00000011260.13"
"RNF216","ring finger protein 216","54476","ENSG00000011275.18"
"TTC19","tetratricopeptide repeat domain 19","54902","ENSG00000011295.15"
"PTBP1","polypyrimidine tract binding protein 1","5725","ENSG00000011304.18"
"DPF1","double PHD fingers 1","8193","ENSG00000011332.19"
"SYT7","synaptotagmin 7","9066","ENSG00000011347.9"
"LARS2","leucyl-tRNA synthetase 2, mitochondrial","23395","ENSG00000011376.9"
"PIK3C2A","phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha","5286","ENSG00000011405.13"
"PLAUR","plasminogen activator, urokinase receptor","5329","ENSG00000011422.11"
"ANLN","anillin actin binding protein","54443","ENSG00000011426.10"
"WIZ","widely interspaced zinc finger motifs","58525","ENSG00000011451.17"
"RABGAP1","RAB GTPase activating protein 1","23637","ENSG00000011454.16"
"DCN","decorin","1634","ENSG00000011465.16"
"QPCTL","glutaminyl-peptide cyclotransferase like","54814","ENSG00000011478.11"
"PPP5C","protein phosphatase 5 catalytic subunit","5536","ENSG00000011485.14"
"CEP68","centrosomal protein 68","23177","ENSG00000011523.13"
"MAP4K3","mitogen-activated protein kinase kinase kinase kinase 3","8491","ENSG00000011566.14"
"ZBTB32","zinc finger and BTB domain containing 32","27033","ENSG00000011590.13"
"TYROBP","TYRO protein tyrosine kinase binding protein","7305","ENSG00000011600.11"
"TMEM159","transmembrane protein 159","57146","ENSG00000011638.10"
"GABRA3","gamma-aminobutyric acid type A receptor alpha3 subunit","2556","ENSG00000011677.12"
"BRCA1","BRCA1, DNA repair associated","672","ENSG00000012048.20"
"","","0","ENSG00000012061.15"
"CD22","CD22 molecule","933","ENSG00000012124.15"
"SEMA3B","semaphorin 3B","7869","ENSG00000012171.18"
"MBTPS2","membrane bound transcription factor peptidase, site 2","51360","ENSG00000012174.11"
"PRICKLE3","prickle planar cell polarity protein 3","4007","ENSG00000012211.12"
"LTF","lactotransferrin","4057","ENSG00000012223.12"
"EXTL3","exostosin like glycosyltransferase 3","2137","ENSG00000012232.8"
"NR1H4","nuclear receptor subfamily 1 group H member 4","9971","ENSG00000012504.13"
"ELOVL5","ELOVL fatty acid elongase 5","60481","ENSG00000012660.13"
"ALOX5","arachidonate 5-lipoxygenase","240","ENSG00000012779.10"
"KDM5D","lysine demethylase 5D","8284","ENSG00000012817.15"
"CALCOCO1","calcium binding and coiled-coil domain 1","57658","ENSG00000012822.15"
"","","0","ENSG00000012963.14"
"MAP4K5","mitogen-activated protein kinase kinase kinase kinase 5","11183","ENSG00000012983.11"
"EHD3","EH domain containing 3","30845","ENSG00000013016.15"
"PSMC4","proteasome 26S subunit, ATPase 4","5704","ENSG00000013275.7"
"MAN2B2","mannosidase alpha class 2B member 2","23324","ENSG00000013288.8"
"SLC7A14","solute carrier family 7 member 14","57709","ENSG00000013293.5"
"CLDN11","claudin 11","5010","ENSG00000013297.10"
"SLC25A39","solute carrier family 25 member 39","51629","ENSG00000013306.15"
"MVP","major vault protein","9961","ENSG00000013364.18"
"NUB1","negative regulator of ubiquitin like proteins 1","51667","ENSG00000013374.15"
"PGM3","phosphoglucomutase 3","5238","ENSG00000013375.15"
"RWDD2A","RWD domain containing 2A","112611","ENSG00000013392.7"
"CLK1","CDC like kinase 1","1195","ENSG00000013441.15"
"POLR3B","RNA polymerase III subunit B","55703","ENSG00000013503.9"
"ANGEL1","angel homolog 1","23357","ENSG00000013523.9"
"RNF14","ring finger protein 14","9604","ENSG00000013561.17"
"DNASE1L1","deoxyribonuclease 1 like 1","1774","ENSG00000013563.13"
"DDX11","DEAD/H-box helicase 11","1663","ENSG00000013573.16"
"HEBP1","heme binding protein 1","50865","ENSG00000013583.8"
"GPRC5A","G protein-coupled receptor class C group 5 member A","9052","ENSG00000013588.6"
"MAMLD1","mastermind like domain containing 1","10046","ENSG00000013619.13"
"CD6","CD6 molecule","923","ENSG00000013725.14"
"TACC3","transforming acidic coiled-coil containing protein 3","10460","ENSG00000013810.18"
"UFL1","UFM1 specific ligase 1","23376","ENSG00000014123.9"
"POLA2","DNA polymerase alpha 2, accessory subunit","23649","ENSG00000014138.8"
"ZC3H3","zinc finger CCCH-type containing 3","23144","ENSG00000014164.6"
"CAPN1","calpain 1","823","ENSG00000014216.15"
"ACPP","acid phosphatase, prostate","55","ENSG00000014257.15"
"MDH1","malate dehydrogenase 1","4190","ENSG00000014641.17"
"SLC30A9","solute carrier family 30 member 9","10463","ENSG00000014824.13"
"MTMR11","myotubularin related protein 11","10903","ENSG00000014914.19"
"COX15","cytochrome c oxidase assembly homolog COX15","1355","ENSG00000014919.12"
"CCDC88C","coiled-coil domain containing 88C","440193","ENSG00000015133.18"
"YAF2","YY1 associated factor 2","10138","ENSG00000015153.14"
"ZMYND11","zinc finger MYND-type containing 11","10771","ENSG00000015171.18"
"WAS","Wiskott-Aldrich syndrome","7454","ENSG00000015285.10"
"DPEP1","dipeptidase 1","1800","ENSG00000015413.9"
"BID","BH3 interacting domain death agonist","637","ENSG00000015475.18"
"MATR3","matrin 3","9782","ENSG00000015479.17"
"NPC1L1","NPC1 like intracellular cholesterol transporter 1","29881","ENSG00000015520.14"
"XYLT2","xylosyltransferase 2","64132","ENSG00000015532.9"
"RGPD5","RANBP2-like and GRIP domain containing 5","84220","ENSG00000015568.12"
"STMN4","stathmin 4","81551","ENSG00000015592.16"
"NUDCD3","NudC domain containing 3","23386","ENSG00000015676.17"
"ISL1","ISL LIM homeobox 1","3670","ENSG00000016082.14"
"CHDH","choline dehydrogenase","55349","ENSG00000016391.10"
"IL20RA","interleukin 20 receptor subunit alpha","53832","ENSG00000016402.13"
"CLCA1","chloride channel accessory 1","1179","ENSG00000016490.15"
"CLCA4","chloride channel accessory 4","22802","ENSG00000016602.9"
"GLT8D1","glycosyltransferase 8 domain containing 1","55830","ENSG00000016864.17"
"ATP2C1","ATPase secretory pathway Ca2+ transporting 1","27032","ENSG00000017260.19"
"IGF1","insulin like growth factor 1","3479","ENSG00000017427.15"
"SLC38A5","solute carrier family 38 member 5","92745","ENSG00000017483.14"
"RALBP1","ralA binding protein 1","10928","ENSG00000017797.11"
"RUFY3","RUN and FYVE domain containing 3","22902","ENSG00000018189.12"
"CNTN1","contactin 1","1272","ENSG00000018236.14"
"SLC11A1","solute carrier family 11 member 1","6556","ENSG00000018280.16"
"WWTR1","WW domain containing transcription regulator 1","25937","ENSG00000018408.14"
"AGPS","alkylglycerone phosphate synthase","8540","ENSG00000018510.13"
"ZNF806","zinc finger protein 806","646915","ENSG00000018607.6"
"CXorf56","chromosome X open reading frame 56","63932","ENSG00000018610.13"
"ATP1A2","ATPase Na+/K+ transporting subunit alpha 2","477","ENSG00000018625.14"
"TTC27","tetratricopeptide repeat domain 27","55622","ENSG00000018699.11"
"ZNF582","zinc finger protein 582","147948","ENSG00000018869.16"
"VSIG2","V-set and immunoglobulin domain containing 2","23584","ENSG00000019102.11"
"PHLDB1","pleckstrin homology like domain family B member 1","23187","ENSG00000019144.17"
"MARCO","macrophage receptor with collagenous structure","8685","ENSG00000019169.10"
"CYP24A1","cytochrome P450 family 24 subfamily A member 1","1591","ENSG00000019186.9"
"PRDM11","PR/SET domain 11","56981","ENSG00000019485.12"
